nama_sekolah,alamat,kelurahan,kecamatan,jumlah_siswa,jumlah_guru,telepon,kondisi_lingkungan,latitude,longitude
SMA Negeri 7,Jl. Karet Pasar Baru Barat V,Karet Tengsin,Tanah Abang,624,41,(021) 5720934,Banjir,-6.166497,106.819839
SMA Dharma Putra Jakarta,Jl. Swasembada Barat XI No. 92,Kebon Bawang,Tanjung Priok,175,18,(021) 4338183,Banjir,-6.122607,106.887245
SMA Gita Kirti II,Jl. Sunter Jaya IV/2,Sunter Jaya,Tanjung Priok,23,17,(021) 6508977,Banjir,-6.155814,106.867447
SMK Analis Kesehatan Tunas Harapan,Jl. Bendera Raya - Intisari 3,Kalisari,Pasar Rebo,350,39,(021) 8720108,Banjir,-6.331491,106.858711
SMK Bhakti,Jl. Karya Barat I Ujung No.24 Jakarta Barat,Wijaya Kusuma,Grogol Petamburan,30,13,0821 14486336,Banjir,-6.161085,106.773727
SMK Bunga Nusa I,"Jl. Rawa Bengkel Sdn 19 Pagi, Cengkareng Barat",Cengkareng Barat,Cengkareng,60,10,(021) 5447107,Banjir,-6.141474,106.725876
SMK Dewi Sartika,Jl. Kebon Nanas Utara II/23,Cipinang Cempedak,Jatinegara,295,21,(021) 85914453,Banjir,1,2
SMK Hang Tuah I Jakarta,Jl. Tabah Raya Komp. TNI AL,Kelapa Gading Barat,Kelapa Gading,512,28,(021) 4535140,Banjir,-6.158968,106.885063
SMK Ibu Pertiwi 1 Jakarta,Jl. Let. Jend. S. Parman No. 69,Slipi,Palmerah,0,14,(021) 70624646,Banjir,-6.193888,106.797432
SMK Islam Fatahillah Jakarta,Jl. Keutamaan No. 89,Krukut,Taman Sari,144,14,(021) 6344508,Banjir,-6.156,106.814003
SMK Karya Bahari,Jl. Mindi No. 36,Lagoa,K o j a,55,13,(021) 43909933,Banjir,-6.113743,106.916031
SMK Kesatuan,Jl. Kesatuan No.1 kp.Klingkit,Rawa Buaya,Cengkareng,306,18,(021) 58300174,Banjir,-6.1564,106.728104
SMK Kimia Tunas Harapan,Jl. Bendera Raya / Intisari III No.17,Kalisari,Pasar Rebo,209,22,(021)8728766,Banjir,-6.330335,106.858643
SMK Lagoa,Jl. Lagoa III No. 135,Lagoa,K o j a,73,12,(021) 4308134,Banjir,-6.117838,106.913391
SMK Negeri 26,Jl. Balai Pustaka Baru 1,Rawamangun,Pulo Gadung,1079,105,(021) 4720310,Banjir,-6.19455,106.886497
SMK Negeri 38,Jl. Kebon Sirih No. 38,Gambir,Gambir,347,31,(021) 3441788,Banjir,-6.181852,106.817123
SMK Nusantara 2,Jl. Kramat Jaya Gg. VIII,Tugu Utara,K o j a,379,23,(021) 4408882 /44468263,Banjir,-6.121597,106.914185
SMK Pelayaran Tri Arga 1,Jl. HH No.63 Kebun Jeruk,Kebon Jeruk,Kebon Jeruk,0,12,(021) 5321325,Banjir,-6.203933,106.768753
SMK PGRI 39 Jakarta,Jl. I Gusti Ngurah Rai,Penggilingan,Cakung,178,21,(021) 46823922,Banjir,-6.215946,106.926956
SMK PGRI 40 Jakarta,Jl. Rawa Kuning No. 119,Pulo Gebang,Cakung,46,,(021) 96687852,Banjir,0,0
SMK PGRI 8 Jakarta,Jl. Cipinang Muara I,Pondok Bambu,Duren Sawit,103,12,(021) 86610019,Banjir,-6.212483,106.872505
SMK Poncol,Jl. Mutiara Raya,Sumur Batu,Kemayoran,0,30,(021) 4252110,Banjir,-6.1642,106.869202
SMK Raudhatul Jannatunna'im,Jl. Budi Mulia No.91,Pademangan Barat,Pademangan,204,18,(021) 64710005,Banjir,-6.132853,106.839439
SMK Respati I,Jl. Inpres,Kampung Tengah,Kramat Jati,94,19,(021) 8093086,Banjir,-6.286506,106.870705
SMK Sumber Daya Manusia,Jl. Amil Buncit Indah I B,Kalibata,Pancoran,0,15,(021)7944204,Banjir,-6.162418,106.495529
SMK Tarakanita,Jl. Pulo Raya IV/17,Petogogan,Kebayoran Baru,286,26,(021) 7230148,Banjir,-6.246231,106.811752
SMK Tunas Markatin,Jl. Waru No. 20 B,Rawamangun,Pulo Gadung,163,23,(021) 4707917,Banjir,-6.196035,106.888191
SMK Yapenap 1 Jakarta,Jl. Pancoran Barat VI B No. 72,Pancoran,Pancoran,78,11,(021) 7902318,Banjir,-6.249705,106.840088
