nama_sekolah,alamat,kelurahan,kecamatan,jumlah_siswa,jumlah_guru,telepon,kondisi_lingkungan,latitude,longitude
SDN Tegal Alur 17 Pg.,Jl. Kayu Besar,Tegal Alur,Kalideres,577,22,(021) 55960608,Banjir,-6.121619,106.729492
SDN Gandaria Utara 01 Pg.,Jl. Gotong Royong II,Gandaria Utara,Kebayoran Baru,196,11,(021) 7228487,Banjir,-6.25934,106.794319
SDN Gandaria Utara 11 Pg.,Jl. BRI Radio Dalam,Gandaria Utara,Kebayoran Baru,257,18,(021) 7260876,Banjir,-6.25831,106.791054
SDS Bhakti Luhur,Jl. Wijaya I. Gg. Langgar No.1,Petogogan,Kebayoran Baru,179,10,(021) 7245324,Banjir,-6.245156,106.811501
SDN Cipulir 11 Pg.,Jl. Samudra I,Cipulir,Kebayoran Lama,279,13,(021) 7232520,Banjir,-6.239119,106.775864
SDN Grogol Selatan 07 Pg.,Jl. Kubur Islam,Grogol Selatan,Kebayoran Lama,269,12,(021) 72798656,Banjir,-6.2295,106.780602
SDN Grogol Utara 09 Pg.,Jl. Kemandoran I,Grogol Utara,Kebayoran Lama,305,10,(021) 5362217,Banjir,0,0
SDN Grogol Utara 10 Pg.,Jl. Kemandoran I No.40,Grogol Utara,Kebayoran Lama,244,10,(021) 5362753,Banjir,0,0
SDN Grogol Utara 11 Pt.,Jl. Kemandoran I,Grogol Utara,Kebayoran Lama,178,9,(021) 53676483,Banjir,0,0
SDN Grogol Utara 14 Pt.,Jl. Kemandoran I,Grogol Utara,Kebayoran Lama,140,10,(021) 5362753,Banjir,0,0
SDN Keb. Lama Selatan 12 Pg.,Jl. Komp.Bina Marga T.Kusir,Kebayoran Lama Selatan,Kebayoran Lama,385,20,(021) 7238679,Banjir,0,0
SDN Keb. Lama Utara 09 Pg.,Jl. Delman Asri IX NO.15,Kebayoran Lama Utara,Kebayoran Lama,395,17,(021) 7239610,Banjir,0,0
SDN Keb. Lama Utara 13 Pg.,Jl. Peninggalan Barat  III,Kebayoran Lama Utara,Kebayoran Lama,278,14,(021) 7294753,Banjir,0,0
PKBM Cita Kasih Bangsa Paket A,"Jl. Perjuangan No. 6 E-H, KEBON JERUK, JAK-BAR",Duri Kepa,Kebon Jeruk,0,0,"(021) 53662850, 53662806",Banjir,0,0
SDN Duri Kepa 03 Pg.,Jl. Mangga Raya  No. 18,Duri Kepa,Kebon Jeruk,301,16,(021) 56944231,Banjir,-6.174629,106.774582
SDN Duri Kepa 05 Pg.,Jl. Mangga XIV,Duri Kepa,Kebon Jeruk,498,18,(021) 29339605,Banjir,-6.172085,106.77282
SDN Sukabumi Selatan 07 Pg.,Jl. Raya Pos Pengumben,Sukabumi Selatan,Kebon Jeruk,196,21,(021) 5364340,Banjir,-6.2175,106.772202
SDN Sukabumi Utara 04 Pg.,Jl. Daud Raya,Sukabumi Utara,Kebon Jeruk,242,11,(021) 5363702,Banjir,-6.20665,106.772415
SDN Sukabumi Utara 08 Pg.,JL. SULAIMAN,Sukabumi Utara,Kebon Jeruk,176,10,(021) 5301210,Banjir,-6.206177,106.781609
SDN Sukabumi Utara 09 Pg.,Jl. Yusuf No.5,Sukabumi Utara,Kebon Jeruk,210,10,(021) 5301070,Banjir,-6.20736,106.780869
SDN Kelapa Gading Tim. 01 Pg.,Jl. Puskesmas No. 32,Kelapa Gading Timur,Kelapa Gading,0,22,(021) 214529092,Banjir,-6.178877,106.905228
SDS Jembatan Baru,Jl. Inspeksi Kali Sunter,Kelapa Gading Barat,Kelapa Gading,0,9,0858 14476187,Banjir,-6.160389,106.883652
SDS Kasih Ananda,Jl. Raya Pengangsaan Dua No.3,Pegangsaan Dua,Kelapa Gading,441,18,(021) 4603005,Banjir,-6.169206,106.917564
SDN Cempaka Baru 11 Pg.,Jl. Remaja II,Cempaka Baru,Kemayoran,327,9,(021) 42804304,Banjir,-6.16511,106.862961
SDN Cempaka Baru 13 Pg.,Jl. Remaja II No. 57,Cempaka Baru,Kemayoran,250,10,(021) 4268390,Banjir,-6.2115,106.8452
SDN Cempaka Baru 14 Pg.,Jl. Remaja II,Cempaka Baru,Kemayoran,211,10,(021) 4209573,Banjir,-6.164981,106.863541
SDN Kemayoran 11 Pg.,Jl. Kemayoran Tengah,Kemayoran,Kemayoran,268,9,(021) 4259612,Banjir,-6.160661,106.853996
SDN Kemayoran 14 Pt.,Jl. Kemayoran Tengah,Kemayoran,Kemayoran,169,5,(021) 4211654,Banjir,-6.1632,106.847504
SDN Serdang 11 Pg.,Jl. Kp. Irian II No. 24,Serdang,Kemayoran,341,13,(021) 4211193,Banjir,-6.1571,106.867798
SDN Sumur Batu 03 Pg.,Jl. Sumur Batu Utara No. 2,Sumur Batu,Kemayoran,210,11,(021) 4251219,Banjir,-6.15923,106.867081
SDN Kembangan Selatan 01 Pg.,Jl. Raya Kembangan Rt.005/01,Kembangan Selatan,Kembangan,805,35,(021) 22580823,Banjir,-6.184716,106.728798
SDN Kembangan Utara 04 Pg.,Jl. Raya Kembangan,Kembangan Utara,Kembangan,684,27,(021) 58350683,Banjir,-6.1049,106.442802
SDN Kembangan Utara 05 Pg.,Jl. Kembangan Baru,Kembangan Utara,Kembangan,405,15,(021) 22580731,Banjir,-6.169057,106.75013
SDN Kembangan Utara 06 Pg.,JALAN KAMPUNG BARU,Kembangan Utara,Kembangan,401,18,(021) 58358816,Banjir,-6.169057,106.75013
SDN Kembangan Utara 07 Pt.,JALAN KAMPUNG BARU,Kembangan Utara,Kembangan,303,13,(021) 58303672,Banjir,-6.169057,106.75013
SDN Bale Kambang 01 Pg.,Jl. Munggang Gg. Rawa Elok,Bale Kembang,Kramat Jati,406,14,(021) 8007910,Banjir,0,0
SDN Batu Ampar 05 Pg.,Jl. SMPN 126,Batu Ampar,Kramat Jati,248,10,(021) 8004932,Banjir,0,0
SDN Cililitan 03 Pg.,Jl. Ciliwung Rt. 08/ 016,Cililitan,Kramat Jati,339,11,(021) 8015250,Banjir,0,0
SDN Kampung Tengah 05 Pg.,Jl. Pelita,Kampung Tengah,Kramat Jati,201,9,(021) 8414031,Banjir,0,0
SDN Kampung Tengah 06 Pg.,Jl. Haji Ali,Kampung Tengah,Kramat Jati,300,15,(021) 8414209,Banjir,0,0
SDN Kampung Tengah 09 Pg.,Jl. Haji Ali,Kampung Tengah,Kramat Jati,288,11,(021) 87792750,Banjir,-6.29278,106.861206
SDN Kramat Jati 19 Pg.,Jl. BB Pasar Hek,Kramat Jati,Kramat Jati,293,16,(021) 80881742,Banjir,0,0
SDN Cipinang Melayu 07 Pg.,Jl. Inspeksi Tarum Barat no.112,Cipinang Melayu,Makasar,374,16,(021) 8606966,Banjir,0,0
SDN Cipinang Melayu 09 Pg.,Jl. Elang Thainesia Komp. Auri Curug Indah,Cipinang Melayu,Makasar,515,19,(021) 8602215,Banjir,-6.253875,106.914871
SDN Cipinang Melayu 10 Pg.,Jl. Elang Thainesia,Cipinang Melayu,Makasar,431,19,(021) 8628977,Banjir,0,0
SDN Halim 01 Pg.,Jl. Halim Golf Kp. Baru,Halim Perdana Kusumah,Makasar,576,23,(021) 8007115,Banjir,-6.2672,106.8778
SDN Kebon Pala 11 Pg.,Jl. SD Inpres  No.28,Kebon Pala,Makasar,286,13,(021) 80885359,Banjir,0,0
SDN Kebon Pala 13 Pg.,Jl. SD Inpres No.28,Kebon Pala,Makasar,223,9,(021) 80888756,Banjir,0,0
SDN Kebon Pala 14 Pg.,Jl. SD Inpres,Kebon Pala,Makasar,209,11,(021) 80888148 / 98565170,Banjir,0,0
SDN Kebon Pala 15 Pg.,Jl. SD Inpres,Kebon Pala,Makasar,180,9,(021) 80880687,Banjir,-6.5272,106.881203
SDN Pinang Ranti 09 Pg.,Kp. Pulo,Pinang Ranti,Makasar,636,21,(021) 8008401,Banjir,0,0
SDN Bangka 03 Pg.,Jl. Kemang Timur XI,Bangka,Mampang Prapatan,227,9,(021) 7199337,Banjir,-6.26587,106.824791
SDN Bangka 05 Pg.,Jl. Kemang Selatan I,Bangka,Mampang Prapatan,173,10,(021) 7180943,Banjir,-6.26587,106.820198
SDN Bangka 06 Pg.,Jl. Kemang Selatan I,Bangka,Mampang Prapatan,212,9,(021) 7181806,Banjir,-6.265088,106.790543
SDN Bangka 07 Pg.,Jl. Kemang Timur XI,Bangka,Mampang Prapatan,170,12,(021) 7193611,Banjir,-6.26587,106.824791
SDN Kuningan Barat 03 Pg.,Jl. PLN Kuningan Barat,Kuningan Barat,Mampang Prapatan,187,7,(021) 52963370,Banjir,-5.4438,114.421097
SDN Pela Mampang 01 Pg.,Jl. Bangka II Gg. 5,Pela Mampang,Mampang Prapatan,326,14,(021) 7191185,Banjir,-6.241584,106.815277
SDN Pela Mampang 05 Pg.,Jl. Pondok Jaya VI/ 1,Pela Mampang,Mampang Prapatan,348,19,(021) 7197175,Banjir,-6.24466,106.817406
SDN Pela Mampang 12 Pg.,Jl. Bangka VII Bawah,Pela Mampang,Mampang Prapatan,241,9,(021) 7196619,Banjir,-6.2484,106.811478
SDN Tegal Parang 06 Pg.,Jl. Mampang Prapatan XIII,Tegal Parang,Mampang Prapatan,186,10,(021) 7900418,Banjir,0,0
SDN Tegal Parang 08 Pg.,Jl. Mampang Prapatan XIII,Tegal Parang,Mampang Prapatan,66,8,(021) 7901320,Banjir,0,0
SDS Islam Ahdi,Kemang Raya 84,Bangka,Mampang Prapatan,103,13,(021) 7195383,Banjir,0,0
SDS Kemala Bhayangkari 4,Jl. Pondok Karya II C / 22,Pela Mampang,Mampang Prapatan,124,9,(021) 71790181,Banjir,-6.242775,106.823746
SDN Kebon Manggis 01 Pg.,Jl. Slamet Riyadi II/ 7B,Kebon Manggis,Matraman,161,7,(021) 8515130,Banjir,0,0
SDN Kebon Manggis 12 Pt.,Jl. Kesatrian VIII No. 28 H,Kebon Manggis,Matraman,136,6,(021) 70984029,Banjir,0,0
SDN Pisangan Baru 13 Pg.,Jl. Pisangan Baru Utara,Pisangan Baru,Matraman,219,12,(021) 8191916,Banjir,0,0
SDN Utan Kayu Selatan 14 Pg.,Jl. Galur Sari Timur,Utan Kayu Selatan,Matraman,232,10,(021) 8191849,Banjir,0,0
SDN Utan Kayu Selatan 16 Pg.,Jl. Galur Sari Timur,Utan Kayu Selatan,Matraman,202,10,(021) 8518948,Banjir,-6,106
SDN Utan Kayu Selatan 21 Pg.,Jl. Galur Sari VIII,Utan Kayu Selatan,Matraman,376,17,(021) 85908463,Banjir,0,0
SDN Utan Kayu Utara 08 Pg.,Jl. Galur Sari Rt. 003/07,Utan Kayu Utara,Matraman,203,9,(021) 85906533,Banjir,1.922,3.257
SDN Pademangan Barat 01 Pg.,Jl. Ampera III  Gng. Sahari,Pademangan Barat,Pademangan,615,25,(021) 64717470,Banjir,-6.135637,106.833679
SDN Jati Pulo 07 Pg.,Jl. Teratai Rt. 004/ 01No.17,Jati Pulo,Palmerah,417,13,(021) 70709807,Banjir,-6.179298,106.798996
SDN Jati Pulo 08 Pg.,Jl. Seroja No. 16,Jati Pulo,Palmerah,327,15,(021) 56940088,Banjir,-6.180395,106.798859
SDN Kota Bambu 01 Pg.,Komp. PJKA Pondok Bandung,Kota Bambu Utara,Palmerah,429,16,(021) 5634427,Banjir,-6.183332,106.809235
SDN Kota Bambu 07 Pg.,Jl. K.S. Tubun I No. 2,Kota Bambu Selatan,Palmerah,290,9,(021) 98183312,Banjir,-6.187249,106.810234
SDN Palmerah 15 Pg.,Komp. Sandang,Palmerah,Palmerah,342,15,(021) 5320237,Banjir,-6.195689,106.789207
SDN Palmerah 17 Pg.,Komp. Sandang,Palmerah,Palmerah,378,16,(021) 5307714,Banjir,-6.195689,106.789207
SDN Palmerah 19 Pg.,Jl. Rawa Belong II/ E,Palmerah,Palmerah,318,15,(021) 5329888,Banjir,-6.203663,106.78421
SDN Palmerah 20 Pg.,Jl. Rawa belong II/E,Palmerah,Palmerah,238,13,(021) 5363575,Banjir,-6.20355,106.785004
SDN Palmerah 22 Pg.,Jl. Palmerah Barat VI,Palmerah,Palmerah,334,12,(021) 5364356,Banjir,-6.203432,106.784622
SDN Palmerah 23 Pg.,Jl. Rawa Belong II/E No.153,Palmerah,Palmerah,315,14,(021) 53675765,Banjir,-6.202509,106.786987
SDS Nurul Huda,Jl. Nurul Huda No. 12A,Jati Pulo,Palmerah,80,6,(021) 5650626,Banjir,-6.197849,106.787292
SDN Duren Tiga 13 Pg.,Jl. K. H. Ismail No. 121,Duren Tiga,Pancoran,142,19,(021) 7983061,Banjir,-6.259149,106.834663
SDN Duren Tiga 14 Pg.,Jl. Kalibata Utara VI / 28,Duren Tiga,Pancoran,167,8,(021) 7991264,Banjir,-6.25916,106.838364
SDN Kalibata 04 Pg.,Jl. Kalibata Timur IV/ E,Kalibata,Pancoran,283,13,(021) 7984583,Banjir,0,0
SDN Kalibata 07 Pg.,Jl. Kalibata Timur IVG,Kalibata,Pancoran,177,9,(021) 7901190,Banjir,0,0
SDN Kalibata 08 Pg.,Jl. Kalibata Timur IV,Kalibata,Pancoran,49,10,(021) 7900391,Banjir,0,0
SDN Pancoran 07 Pg.,Jl. Pancoran Barat VIII/A,Pancoran,Pancoran,233,11,(021) 7988578,Banjir,-6.247445,106.836182
SDN Pancoran 08,Jl. Pancoran Barat VIII,Pancoran,Pancoran,334,17,(021) 79188930,Banjir,0,0
SDN Pancoran 10 Pg.,Jl. Pancoran Barat VIII,Pancoran,Pancoran,255,11,(021) 7981105,Banjir,-6.2473,106.835701
SDN Rawajati 06 Pg.,Jl. Rawajati Barat II,Rawajati,Pancoran,180,8,(021) 79196618,Banjir,0,0
SDN Rawajati 07 Pg.,Jl. Komp. Zeni AD VIII,Rawajati,Pancoran,329,13,0879 198783,Banjir,-6.262318,106.857864
SDN Pasar Minggu 04 Pg.,Jl. Rawa Bambu I,Pasar Minggu,Pasar Minggu,244,13,0878 830124,Banjir,-6.292007,106.838776
SDN Pejaten Timur 15 Pg.,Jalan Siaga Dharma VIII No. 19,Pejaten Timur,Pasar Minggu,148,10,(021) 7989733,Banjir,-6.269554,106.847961
SDN Pejaten Timur 22 Pg.,Jl. Rukun Pejaten Timur,Pejaten Timur,Pasar Minggu,150,10,(021) 7948791,Banjir,0,0
SDS Azhari Islamic School Cilandak,Jl. Jeruk Purut No. 10,Cilandak Timur,Pasar Minggu,103,10,0878 838073,Banjir,0,0
SDN Gedong 05 Pg.,Jl. Surilang No. 8,Gedong,Pasar Rebo,525,21,0877 99407,Banjir,0,0
SDN Gedong 11 Pg.,Jl. H. Taiman Barat II,Gedong,Pasar Rebo,264,13,0877 92538,Banjir,0,0
SDN Kalisari 04 Pg.,Jl. Raya Kalisari,Kalisari,Pasar Rebo,270,11,(021) 8728239,Banjir,0,0
PKBM AULIA,Jl. C No. 205 A Teluk Gong,Pejagalan,Penjaringan,28,7,0813 16630112,Banjir,0,0
SDN Kapuk Muara 01 Pg.,Jl. Raya Kpk Muara Rt. No.9,Kapuk Muara,Penjaringan,644,23,(021) 54399862,Banjir,-6.136765,106.775238
SDN Kapuk Muara 04 Pt.,Jl. SMP 122,Kapuk Muara,Penjaringan,155,9,(021) 54392218,Banjir,-6.138216,106.763504
SDN Kapuk Muara 05 Pg.,Jl. SMPN 122,Kapuk Muara,Penjaringan,511,23,(021) 54377982,Banjir,-6.138851,106.763092
SDN Pejagalan 03,Jl. Raya Teluk Gong No. 160,Pejagalan,Penjaringan,603,23,(021) 66697374,Banjir,-6.138332,106.777267
SDN Pejagalan 05,Jl. V Teluk Gong,Pejagalan,Penjaringan,579,24,(021) 6670760,Banjir,-6.13833,106.777252
SDN Pejagalan 09 Pg.,Jl. Cenang  I Teluk Gong,Pejagalan,Penjaringan,540,27,(021) 6626073,Banjir,-6.133401,106.781006
SDN Bintaro 05 Pg.,Jl. Komplek. IKPN,Bintaro,Pesanggrahan,379,16,(021) 73884367,Banjir,-6.261294,106.772072
SDN Petukangan Selatan 01,Jl. Sangrila Indah II,Petukangan Selatan,Pesanggrahan,602,20,(021) 7374949,Banjir,0,0
SDN Petukangan Selatan 02 Pg.,"Jl. Sakti VII, Sangrila Indah 2",Petukangan Selatan,Pesanggrahan,558,21,(021) 7351063,Banjir,0,0
SDN Petukangan Utara 09 Pg.,Jl. H. Jaelani I,Petukangan Utara,Pesanggrahan,541,20,(021) 73887689,Banjir,0,0
SDN Ulujami 01 Pg.,Jl. H. Buang,Ulujami,Pesanggrahan,381,14,(021) 73884645,Banjir,-6.2645,106.768097
SDN Ulujami 04 Pg.,Jl. H. ROHIMIN,Ulujami,Pesanggrahan,410,19,(021) 5865636,Banjir,6.23246,106.761864
SDN Ulujami 07 Pg.,Jl. H. Rohimin,Ulujami,Pesanggrahan,376,15,(021) 5861158,Banjir,7609,1944
SDN Jati 04 Pt.,Jl. Taman Pulo Asem tara,Jati,Pulo Gadung,247,12,(021) 478668044,Banjir,0,0
SDN Jatinegara Kaum 11 Pg.,Jl. TB.Badarudin - Tanah Koja,Jatinegara Kaum,Pulo Gadung,335,13,(021) 4752901,Banjir,-6.2091,106.896202
SDN Kayu Putih 08 Pg.,Jl. Batu Sulaeman No. 2,Kayu Putih,Pulo Gadung,292,9,(021) 47863703,Banjir,0,0
SDN Kayu Putih 09 Pg.,Jl. Pulo Mas Barat V No.4,Kayu Putih,Pulo Gadung,344,18,(021) 4716524/4893232,Banjir,0,0
SDN Pisangan Timur 10 Pg.,Jl. Gading Raya  I,Pisangan Timur,Pulo Gadung,201,8,(021) 47863355,Banjir,0,0
SDN Pisangan Timur 13 Pg.,Jl. Haji Mugeni  II,Pisangan Timur,Pulo Gadung,522,25,(021) 4702331,Banjir,-6.2087,106.876297
SDN Pisangan Timur 18 Pg.,Jl. Gading Raya  I,Pisangan Timur,Pulo Gadung,372,20,(021) 47869114,Banjir,0,0
SDN Pisangan Timur 20 Pg.,Jl. Gading Raya  I,Pisangan Timur,Pulo Gadung,306,21,(021) 47867552,Banjir,0,0
SDN Pulogadung 05 Pg.,Jl. Kayu Putih IV No. 3,Pulo Gadung,Pulo Gadung,475,20,(021) 4700450,Banjir,0,0
SDN Pulogadung 07 Pg.,Jl. Kayu Putih I,Pulo Gadung,Pulo Gadung,487,21,(021) 4704790,Banjir,0,0
SDS Don Bosco II,Jl. Pulo Mas Barat V,Kayu Putih,Pulo Gadung,462,42,(021) 4751703,Banjir,0,0
SDN Pasar Baru 11 Pg.,Jl. Kelinci Raya No. 28   Pasar Baru,Pasar Baru,Sawah Besar,344,17,(021) 3502354,Banjir,-6.159711,106.828667
SDN Kuningan Timur 01 Pg.,Jl. KH. Mugni Gg. SD,Kuningan Timur,Setia Budi,137,12,(021) 5214285,Banjir,0,0
SDN Kebon Baru 07 Pg.,Jl. Asem Baris II,Kebon Baru,T e b e t,196,12,(021) 83705162,Banjir,6.231908,106.858673
SDN Kebon Baru 11 Pg.,Jl. H. No. 40 A,Kebon Baru,T e b e t,298,12,(021) 8357357,Banjir,0,0
SDS Muhammadiyah 52,Jl. Kampung Melayu Kecil I No.52,Bukit Duri,T e b e t,117,9,(021) 8311478,Banjir,0,0
SDS Perguruan Rakyat 2,Jl. Kp. Melayu Kecil I No. 38,Bukit Duri,T e b e t,151,8,(021) 8304464,Banjir,-6.224313,106.859879
SDN Mangga Besar 01 Pg.,Jl. Sekolah Tangki No. 141,Mangga Besar,Taman Sari,182,10,(021) 6595062,Banjir,-6.148378,106.817619
SDN Mangga Besar 03 Pg.,Jl. Sekolah Tangki No. 141,Mangga Besar,Taman Sari,180,9,(021) 6247660,Banjir,-6.148378,106.817619
SDN Mangga Besar 05 Pg.,Jl. Sekolah Tangki No. 141,Mangga Besar,Taman Sari,149,8,(021) 62200273,Banjir,-6.14831,106.817688
SDN Mangga Besar 07 Pg.,Jl. Sekolah Tangki No. 141,Mangga Besar,Taman Sari,183,9,(021) 6288026,Banjir,-6.148378,106.817619
SDN Maphar 01 Pg.,Jl. Kebun Jeruk VII No. 5,Maphar,Taman Sari,293,16,(021) 6243302,Banjir,-6.15406,106.81321
SDS Rahmani,Jl. Mangga Besar XI/10,Tangki,Taman Sari,194,11,(021) 6254126,Banjir,-6.147697,106.825645
SDN Tambora 01 Pg.,Jl. Perniagaan No. 31,Tambora,Tambora,276,16,(021) 6907726,Banjir,-6.141904,106.808983
SDN Tambora 03 Pg.,Jl. Perniagaan No. 31,Tambora,Tambora,263,13,(021) 6911470,Banjir,-6.141904,106.808983
SDN Tanah Sereal 01 Pg.,Jl. Pekapuran Raya No. 66,Tanah Sareal,Tambora,306,11,(021) 6319058,Banjir,-6.15012,106.811684
SDS Islam Tambora,Jl. Tambora Mesjid No. 11,Tambora,Tambora,115,8,(021) 6328948,Banjir,-6.145121,106.810158
SDN Karet Tengsin 01 Pg.,Jl. Karet Pasar Baru Tim. 3,Karet Tengsin,Tanah Abang,148,9,(021) 97958377,Banjir,-6.201973,106.816696
SDN Petamburan 05 Pg.,Jl. Petamburan II/33,Petamburan,Tanah Abang,269,14,(021) 53650301,Banjir,-6.19293,106.807182
SDN Petamburan 06 Pt.,Jl. Petamburan II,Petamburan,Tanah Abang,246,13,(021) 53650474,Banjir,-6.19293,106.807182
SDN Petamburan 07 Pg.,Jl. Petamburan II no. 33,Petamburan,Tanah Abang,327,22,-,Banjir,-6.19293,106.807182
SDN Sunter Agung 05 Pg.,Jl. Agung Utara No. 13,Sunter Agung,Tanjung Priok,537,22,(021) 6510167,Banjir,-6.134749,106.858383
SDN Sunter Agung 07 Pg.,Jl. Danau Agung  III Blok E3,Sunter Agung,Tanjung Priok,455,18,(021) 65302454,Banjir,-6.147349,106.859741
SDN Sunter Agung 09 Pg.,Jl. Sunter Permai Raya No.21,Sunter Agung,Tanjung Priok,498,20,(021) 65837079,Banjir,-6.127902,106.859062
SDN Sunter Agung 12 Pg.,Jl. Paradise 10 Blok F. 19-20,Sunter Agung,Tanjung Priok,349,15,(021) 6450795,Banjir,-6.139619,106.866997
SDN Sunter Agung 13 Pg.,Jl. RS. Ancol Komp.Graha Str Pratama,Sunter Agung,Tanjung Priok,404,15,(021) 65305474,Banjir,-6.134379,106.852577
SDS Cokroaminoto,Jl. Warakas lV Gg. 18 No. 35,Warakas,Tanjung Priok,132,8,0853 12358533,Banjir,-6.12302,106.873718
SDS Eirene,Jl. Gadang No. 77,Sungai Bambu,Tanjung Priok,52,5,(021) 43930518,Banjir,-6.11558,106.882378
SDS Mas Intan,Jl. Kp. Bahari III  A9 No. 165,Tanjung Priok,Tanjung Priok,70,9,(021) 99829340,Banjir,-6.118949,106.87265
PKBM Alfa Omega Pulo Gebang Paket B,Jln. P. Komarudin sisi Tol Timur,Pulo Gebang,Cakung,13,1,n.a,Banjir,0,0
SMP Negeri 144,Jl. Raya Bekasi Km. 23 Cakung,Cakung Barat,Cakung,0,39,(021) 4617313,Banjir,-6.18134,106.938904
SMP Cempaka,Jl. Cemp. Putih Barat 21,Cempaka Putih Barat,Cempaka Putih,0,20,(021) 4204285,Banjir,-6.180209,106.86631
SMP Negeri 77,Jl. Cemp. Putih Tengah XVIII,Cempaka Putih Timur,Cempaka Putih,633,34,(021) 4245377,Banjir,-6.17283,106.872169
SMP Al-Jihad,Jl. Kapuk Kebun Jahe,Kapuk,Cengkareng,110,11,(021) 83473684,Banjir,-6.133388,106.748718
SMP Eka Sakti,Jl. Ukir Raya No. 30A,Cengkareng Timur,Cengkareng,16,13,(021) 5453289,Banjir,-6.140447,106.770432
SMP K Rahmani 2,Jl. Durian V No. 1,Rawa Buaya,Cengkareng,41,9,(021) 5816291,Banjir,-6.164711,106.737709
SMP Kesatuan,Jl. Kesatuan No. 1 Klingkit,Rawa Buaya,Cengkareng,264,14,(021) 58300174,Banjir,-6.16101,106.73558
SMP Merdeka Sari,Jl. Kapuk,Kapuk,Cengkareng,200,9,(021)70617333,Banjir,-6.13872,106.753235
SMP Negeri 132,Jl. Tawangmangu No.2,Kedaung Kali Angke,Cengkareng,746,28,(021) 6198897,Banjir,-6.153414,106.7593
SMP Negeri 201,Jl. Kayu Besar,Cengkareng Timur,Cengkareng,762,39,(021) 5553675,Banjir,-6.124415,106.740311
SMP Negeri 249,Jl. Jaya 25 No.41,Cengkareng Barat,Cengkareng,902,35,(021) 5550245,Banjir,-6.110546,106.715523
SMP Ar Ridha,Jl. Teluk Semangka No. 103 Komp. BP,Suka Pura,Cilincing,114,15,(021) 4415206,Banjir,-6.115688,106.911636
SMP At Taqwa,Jl. Dukuh Timur,Semper Barat,Cilincing,0,11,(021) 4403776,Banjir,-6.123713,106.926605
SMP Kasih Immanuel,Jl. Cacing Kp. Sawah Blok  B No 16,Semper Timur,Cilincing,46,10,(021) 4416946,Banjir,-6.135039,106.939537
SMP Maha Prajna,Jl. Cilincing Lama No. 3,Cilincing,Cilincing,0,12,(021) 4414543,Banjir,-6.110127,106.937576
SMP Manba'ul Hikmah,Jl. Tipar No. 2,Suka Pura,Cilincing,146,14,(021) 4404973,Banjir,-6.147819,106.924721
SMP Negeri 266,Jl. Cilincing Bakti VI,Cilincing,Cilincing,842,38,(021) 4402745,Banjir,-6.109982,106.937973
SMP Nurul Falah,Jl. Dewa Kembar,Semper Timur,Cilincing,273,20,(021) 4416278,Banjir,-6.111475,106.924881
SMP Sari Putra,Jl. KEBON BARU BLOK X GG IV NO:25,Semper Barat,Cilincing,221,11,(021) 4407177,Banjir,-6.138328,106.919838
SMP St. Fransiskus Xaverius III,Jl. Raya Cakung Cilincing No.11,Semper Timur,Cilincing,141,7,(021)4407047,Banjir,-6.11558,106.939873
SMP Negeri 210,Jl. Raya Centex,Ciracas,Ciracas,767,40,(021) 8411183,Banjir,-6.322358,106.890991
SMP Negeri 257,Jl. Kelurahan Rambutan,Rambutan,Ciracas,854,40,(021) 8404160,Banjir,-6.307689,106.871094
SMP Negeri 257 Terbuka,Jl. Kelurahan Rambutan,Rambutan,Ciracas,95,17,(021) 8404160,Banjir,-6.307621,106.87149
SMP Negeri 165,Jl. Balai Rakyat III No.16,Pondok Bambu,Duren Sawit,639,26,(021) 8614106,Banjir,-6.225135,106.90255
SMP Negeri 274,Jl. Empang Bahagia Raya 4B,Jelambar,Grogol Petamburan,577,27,(021) 5684386,Banjir,-6.159244,106.790253
SMP Negeri 286,JL.RAWA KEPA VIII,Tomang,Grogol Petamburan,541,25,(021) 5637038,Banjir,-6.170631,106.802406
SMP Negeri 82,Jl. Komp. BDN Pesing,Wijaya Kusuma,Grogol Petamburan,801,41,(021) 5667126,Banjir,-6.154416,106.753433
SMP Pancaran Berkat,Jl. Setia Jaya Raya No. 100,Jelambar Baru,Grogol Petamburan,137,12,(021) 5638992/3,Banjir,-6.151746,106.79113
SMP Tunas Harapan,Jl. Komp. BNI Pesing,Wijaya Kusuma,Grogol Petamburan,238,14,(021) 91214011 / 5680445,Banjir,-6.155389,106.77272
SMP Darul Arqon,Jl. Bekasi Timur VI,Cipinang Besar Utara,Jatinegara,104,15,(021) 8506236,Banjir,-6.217086,106.878319
SMP Dewi Sartika,Jl. Kebon Nanas Utara II/23,Cipinang Cempedak,Jatinegara,380,18,(021) 8569429,Banjir,-6.230669,106.872353
SMP Negeri 148,Jl. BB. I. Cipinang Muara,Cipinang Muara,Jatinegara,666,30,(021) 8199585,Banjir,-6.218934,106.894928
SMP Negeri 25,Jl. BB. I. Cipinang Muara,Cipinang Muara,Jatinegara,702,32,(021) 8195679,Banjir,-6.219064,106.895134
SMP Negeri 28,Jl. Mardani No.17,Johar Baru,Johar Baru,778,30,(021) 4246165,Banjir,-6.182718,106.861946
SMP Negeri 28 Terbuka,Jl. Mardani No. 17,Johar Baru,Johar Baru,180,11,(021) 4246165,Banjir,-6.182718,106.861946
